"i","pos_x","pos_y"
671,-58.4791921,-34.584083
672,-58.479374,-34.5842121
673,-58.4762678,-34.5790569
674,-58.4781735,-34.578654
675,-58.4791214,-34.5775145
676,-58.4798638,-34.5782089
677,-58.4799858,-34.578323
678,-58.4801046,-34.5783868
679,-58.4777864,-34.5784159
680,-58.4806603,-34.573479
681,-58.4805475,-34.5734138
682,-58.4798656,-34.5730192
683,-58.4794588,-34.5727802
684,-58.478775,-34.5723947
685,-58.4785196,-34.5722442
686,-58.4802427,-34.5718887
687,-58.4809026,-34.5711339
688,-58.481268,-34.5707166
689,-58.4817458,-34.5701833
690,-58.4748511,-34.5767626
691,-58.4758404,-34.576032
692,-58.4768459,-34.575286
693,-58.4017804,-34.6210393
694,-58.4021731,-34.6197789
695,-58.4022586,-34.6187305
696,-58.400262,-34.6248434
697,-58.4003938,-34.623826
698,-58.400407,-34.6237231
699,-58.4004356,-34.6235403
700,-58.4006265,-34.6222049
701,-58.4553637,-34.5692479
702,-58.4547828,-34.5685588
703,-58.4530375,-34.5798246
704,-58.4525094,-34.5789227
705,-58.4613364,-34.5683141
706,-58.460961,-34.5687769
707,-58.4405567,-34.5790829
708,-58.4411783,-34.5785387
709,-58.4412123,-34.5785081
710,-58.441354,-34.5783821
711,-58.4414405,-34.5783297
712,-58.4721826,-34.5663951
713,-58.4719337,-34.5666996
714,-58.4718665,-34.5667772
715,-58.4717771,-34.5668875
716,-58.4710419,-34.5677394
717,-58.4702295,-34.568693
718,-58.4790709,-34.5685794
719,-58.4790109,-34.5685978
720,-58.4789667,-34.5686353
721,-58.4785995,-34.5690531
722,-58.4784485,-34.5691531
723,-58.4460086,-34.5886783
724,-58.4470626,-34.5882339
725,-58.4686413,-34.5787423
726,-58.4688837,-34.5784639
727,-58.4689722,-34.5783578
728,-58.4553282,-34.5555481
729,-58.4562182,-34.5560772
730,-58.4569922,-34.5565304
731,-58.4571083,-34.5566008
732,-58.5194371,-34.5929216
733,-58.5186725,-34.5937574
734,-58.5083662,-34.6021694
735,-58.5088199,-34.6016793
736,-58.5094918,-34.6009496
737,-58.5101079,-34.6002645
738,-58.4703792,-34.5662842
739,-58.4704413,-34.5662615
740,-58.470521,-34.5662599
741,-58.4707869,-34.5662753
742,-58.4708747,-34.566281
743,-58.4680638,-34.572884
744,-58.468841,-34.5720153
745,-58.4689345,-34.5719077
746,-58.4694468,-34.5713178
747,-58.4695827,-34.5711575
748,-58.4704122,-34.570154
749,-58.4710218,-34.569414
750,-58.4711545,-34.5692539
751,-58.4719627,-34.5683108
752,-58.4603481,-34.5856812
753,-58.4602344,-34.585666
754,-58.4600955,-34.5856585
755,-58.4599693,-34.585662
756,-58.4598701,-34.5856717
757,-58.4597608,-34.5856897
758,-58.4596184,-34.5857328
759,-58.457715,-34.5864015
760,-58.4575936,-34.5864446
761,-58.4575136,-34.5864729
762,-58.4574337,-34.5865013
763,-58.4574065,-34.5865109
764,-58.4605087,-34.585718
765,-58.4606485,-34.5857514
766,-58.4607306,-34.5857732
767,-58.4608609,-34.5858111
768,-58.4609485,-34.5858391
769,-58.460982,-34.5858503
770,-58.4611259,-34.5859019
771,-58.4612953,-34.58597
772,-58.4614869,-34.5860574
773,-58.4616947,-34.5861659
774,-58.4618654,-34.5862668
775,-58.4620171,-34.5863666
776,-58.4621749,-34.5864817
777,-58.4623456,-34.5866215
778,-58.4625036,-34.5867691
779,-58.4626091,-34.5868672
780,-58.4627158,-34.5869663
781,-58.4627775,-34.5870237
782,-58.462882,-34.5871209
783,-58.462947,-34.5871812
784,-58.4630239,-34.5872528
785,-58.4638547,-34.5880586
786,-58.4640077,-34.5882036
787,-58.4649506,-34.5890754
788,-58.4650846,-34.5892037
789,-58.4651731,-34.5892885
790,-58.4652497,-34.5893619
791,-58.4655097,-34.589611
792,-58.4655737,-34.5896725
793,-58.4657296,-34.5898217
794,-58.4658236,-34.5899117
795,-58.4658731,-34.5899591
796,-58.4659204,-34.5900044
797,-58.4660308,-34.5901158
798,-58.4701091,-34.5671793
799,-58.4826591,-34.570731
800,-58.4821819,-34.5712696
801,-58.4790351,-34.5685503
802,-58.4789599,-34.5685315
803,-58.4789351,-34.5685343
804,-58.4789041,-34.5685534
805,-58.5113162,-34.5989072
806,-58.5100384,-34.5980972
807,-58.4751764,-34.5661966
808,-58.4762237,-34.5668137
809,-58.4484241,-34.581473
810,-58.4483079,-34.5815167
811,-58.4472147,-34.5819641
812,-58.4747124,-34.5699865
813,-58.4739323,-34.5709002
814,-58.4745049,-34.5669135
815,-58.4743146,-34.5671658
816,-58.4665222,-34.5843875
817,-58.4654127,-34.5851929
818,-58.4643592,-34.585962
819,-58.4630913,-34.5868936
820,-58.4738634,-34.5818232
821,-58.4737494,-34.5819885
822,-58.4736694,-34.5821211
823,-58.4735846,-34.5822033
824,-58.4720773,-34.584981
825,-58.4720447,-34.5849002
826,-58.472036,-34.5848274
827,-58.4720372,-34.5846664
828,-58.4720771,-34.582256
829,-58.4375466,-34.5506502
830,-58.4376833,-34.550731
831,-58.4381207,-34.5509894
832,-58.4563267,-34.5961858
833,-58.4567092,-34.595882
834,-58.4448027,-34.5698809
835,-58.4447501,-34.569817
836,-58.4445337,-34.5696
837,-58.4436984,-34.5687563
838,-58.44317,-34.5682192
839,-58.442955,-34.5680008
840,-58.441516,-34.5665034
841,-58.4577102,-34.569779
842,-58.4562207,-34.5702721
843,-58.4641081,-34.5756071
844,-58.4619097,-34.5780998
845,-58.4618046,-34.578229
846,-58.461777,-34.578275
847,-58.4853856,-34.5749708
848,-58.4855013,-34.575037
849,-58.4864884,-34.5756126
850,-58.4875479,-34.576236
851,-58.4876019,-34.5762696
852,-58.489105,-34.5771477
853,-58.4910024,-34.5782617
854,-58.4912572,-34.5784151
855,-58.4923404,-34.5790479
856,-58.4809824,-34.5694532
857,-58.4808254,-34.569632
858,-58.4450748,-34.5869074
859,-58.4442915,-34.5861772
860,-58.4462741,-34.5895503
861,-58.4463592,-34.5898298
862,-58.428726,-34.577511
863,-58.4288095,-34.5775616
864,-58.4296728,-34.5783523
865,-58.4299365,-34.5785809
866,-58.4529578,-34.598644
867,-58.4508778,-34.5733186
868,-58.4502608,-34.5722805
869,-58.4337436,-34.5847205
870,-58.4338011,-34.5846687
871,-58.4338558,-34.5846236
872,-58.4217643,-34.5811459
873,-58.4218061,-34.5812176
874,-58.4218636,-34.5812855
875,-58.4226849,-34.5819492
876,-58.4228939,-34.5821129
877,-58.4169484,-34.5815915
878,-58.4168415,-34.5814368
879,-58.4159558,-34.5800726
880,-58.4154172,-34.579278
881,-58.3908785,-34.5925614
882,-58.3900252,-34.5932775
